name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<xcoff::FileHeader64 as read::xcoff::file::FileHeader>::f_flags;false;false;true;false
<xcoff::SectionHeader32 as read::xcoff::section::SectionHeader>::s_nlnno;false;false;true;false
<read::CompressedData<'data> as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<elf::CompressionHeader32<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<xcoff::AuxHeader64 as read::xcoff::file::AuxHeader>::o_snloader;false;false;true;false
<read::elf::attributes::AttributesSubsectionIterator<'data, Elf> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
common::BinaryFormat::native_object;false;false;false;false
<read::elf::symbol::ElfSymbol<'data, 'file, Elf, R> as read::traits::ObjectSymbol<'data>>::kind;false;false;true;false
<endian::U16Bytes<E> as rustc_std_workspace_core::cmp::Ord>::cmp;false;false;true;false
<endian::I32Bytes<E> as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
read::coff::import::<impl pe::ImportObjectHeader>::parse;false;false;true;false
<read::macho::symbol::MachOSymbol<'data, 'file, Mach, R> as read::traits::ObjectSymbol<'data>>::section;false;false;true;false
read::elf::section::SectionTable::<'data, Elf, R>::len;false;false;true;false
<read::any::Symbol<'data, 'file, R> as read::traits::ObjectSymbol<'data>>::index;false;false;true;false
<read::archive::ArchiveMemberIterator<'data, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::elf::attributes::AttributesSubsectionIterator<'data, Elf> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::macho::symbol::MachOSymbol<'data, 'file, Mach, R> as read::traits::ObjectSymbol<'data>>::name_bytes;false;false;true;false
<elf::ProgramHeader64<Endian> as read::elf::segment::ProgramHeader>::p_flags;false;false;true;false
<pe::ImageOptionalHeader64 as read::pe::file::ImageOptionalHeader>::minor_linker_version;false;false;true;false
endian::U32Bytes::<E>::set;false;false;true;false
<pe::ImageOptionalHeader64 as read::pe::file::ImageOptionalHeader>::size_of_heap_reserve;false;false;true;false
<elf::Sym32<Endian> as read::elf::symbol::Sym>::st_other;false;false;true;false
<pe::ImageHotPatchHashes as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<pe::ImageAlpha64RuntimeFunctionEntry as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<pe::AnonObjectHeaderBigobj as read::coff::file::CoffHeader>::characteristics;false;false;true;false
read::xcoff::section::SectionTable::<'data, Xcoff>::section;false;false;true;false
<read::SectionIndex as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<pe::ImageAuxSymbolSection as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<macho::MachHeader32<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
elf::Rela32::<E>::r_info;false;false;false;false
<read::elf::segment::ElfSegment<'data, 'file, Elf, R> as read::traits::ObjectSegment<'data>>::file_range;false;false;true;false
read::elf::note::GnuProperty::<'data>::pr_data;false;false;false;false
<read::coff::symbol::CoffSymbol<'data, 'file, R, Coff> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::elf::version::VersionTable<'data, Elf> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::pe::section::PeSection<'data, 'file, Pe, R> as read::traits::ObjectSection<'data>>::relocation_map;false;false;true;false
<pe::ImageLoadConfigDirectory64 as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<macho::FatArch64 as read::macho::fat::FatArch>::offset;false;false;true;false
endian::U32Bytes::<E>::new;false;false;false;false
<read::macho::symbol::MachOSymbolIterator<'data, 'file, Mach, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::elf::file::ElfFile::<'data, Elf, R>::elf_header;false;false;true;false
<common::RelocationFlags as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
<macho::MachHeader32<Endian> as read::macho::file::MachHeader>::magic;false;false;true;false
read::pe::resource::ResourceDirectoryEntryData::<'data>::table;false;false;true;false
<read::macho::file::MachOFile<'data, Mach, R> as read::traits::Object<'data>>::has_debug_symbols;false;false;true;false
<common::RelocationFlags as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;true;false
<xcoff::FileHeader32 as read::xcoff::file::FileHeader>::f_opthdr;false;false;true;false
<read::elf::section::SectionTable<'data, Elf, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::macho::symbol::MachOSymbol<'data, 'file, Mach, R> as read::traits::ObjectSymbol<'data>>::is_global;false;false;true;false
<read::xcoff::segment::XcoffSegment<'data, 'file, Xcoff, R> as read::traits::ObjectSegment<'data>>::align;false;false;true;false
<elf::NoteHeader64<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
endian::U64Bytes::<E>::from_bytes;false;false;false;false
<read::macho::file::MachOFile<'data, Mach, R> as read::traits::Object<'data>>::sections;false;false;true;false
<read::elf::comdat::ElfComdat<'data, 'file, Elf, R> as read::traits::ObjectComdat<'data>>::name;false;false;true;false
<macho::SubClientCommand<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<elf::CompressionHeader32<Endian> as read::elf::compression::CompressionHeader>::ch_addralign;false;false;true;false
<pe::ImageSymbol as read::coff::symbol::ImageSymbol>::value;false;false;true;false
<elf::Rel64<Endian> as read::elf::relocation::Rel>::r_offset;false;false;true;false
<macho::Nlist64<Endian> as read::macho::symbol::Nlist>::n_type;false;false;true;false
<read::macho::section::MachOSection<'data, 'file, Mach, R> as read::traits::ObjectSection<'data>>::size;false;false;true;false
<read::xcoff::symbol::XcoffSymbol<'data, 'file, Xcoff, R> as read::traits::ObjectSymbol<'data>>::name_bytes;false;false;true;false
read::xcoff::symbol::Symbol::is_undefined;false;false;false;false
<read::elf::file::ElfFile<'data, Elf, R> as read::traits::Object<'data>>::kind;false;false;true;false
<elf::Relr64<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<elf::HashHeader<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::pe::export::Export<'data> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
endian::I32Bytes::<E>::from_bytes;false;false;false;false
pod::slice_from_all_bytes;false;false;false;false
read::elf::file::FileHeader::is_little_endian;false;false;false;false
read::macho::symbol::SymbolTable::<'data, Mach, R>::new;false;false;true;false
read::macho::load_command::LoadCommandData::<'data, E>::symtab;false;false;true;false
read::pe::section::PeSegment::<'data, 'file, Pe, R>::pe_file;false;false;true;false
read::elf::relocation::RelocationSections::parse;false;false;true;true
read::any::File::CoffBig;false;false;true;false
read::macho::load_command::LoadCommandVariant::PrebindCksum;false;false;true;false
<read::elf::section::ElfSection<'data, 'file, Elf, R> as read::traits::ObjectSection<'data>>::align;false;false;true;false
<elf::SectionHeader64<Endian> as read::elf::section::SectionHeader>::sh_info;false;false;true;false
read::elf::version::VersionTable::<'data, Elf>::version;false;false;true;false
read::archive::ArchiveMember::<'data>::is_thin;false;false;true;false
<pe::ImageThunkData64 as read::pe::import::ImageThunkData>::raw;false;false;false;false
<pe::ImageOptionalHeader32 as read::pe::file::ImageOptionalHeader>::subsystem;false;false;true;false
<xcoff::FileAux32 as read::xcoff::symbol::FileAux>::x_fname;false;false;true;false
<read::xcoff::segment::XcoffSegment<'data, 'file, Xcoff, R> as read::traits::ObjectSegment<'data>>::address;false;false;true;false
<elf::Sym32<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<pe::ImageEnclaveImport as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<pe::ImageRuntimeFunctionEntry as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::xcoff::symbol::XcoffSymbolTable<'data, 'file, Xcoff, R> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
read::macho::symbol::MachOSymbol::<'data, 'file, Mach, R>::new;false;false;true;false
read::util::ByteString;false;false;false;false
<read::coff::section::CoffSegmentIterator<'data, 'file, R, Coff> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
<read::elf::symbol::ElfSymbol<'data, 'file, Elf, R> as read::traits::ObjectSymbol<'data>>::is_weak;false;false;true;false
<read::elf::segment::ElfSegment<'data, 'file, Elf, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::elf::symbol::SymbolTable::<'data, Elf, R>::string_section;false;false;true;false
<macho::SegmentCommand32<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::elf::attributes::AttributesSection::<'data, Elf>::new;false;false;false;false
<read::pe::file::PeFile<'data, Pe, R> as read::traits::Object<'data>>::sections;false;false;true;false
<elf::Rela32<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::any::SegmentInternal::Elf32;false;false;true;false
read::any::SymbolInternal::Pe64;false;false;true;false
read::RelocationTarget::Section;false;false;false;false
<read::elf::section::ElfSection<'data, 'file, Elf, R> as read::traits::ObjectSection<'data>>::kind;false;false;true;false
<macho::DylibReference<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::elf::note::Note::<'data, Elf>::name_bytes;false;false;true;false
<read::macho::file::MachOFile<'data, Mach, R> as read::traits::Object<'data>>::entry;false;false;true;true
<read::elf::version::Version<'data> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::CompressedFileRange as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
read::elf::file::ElfFile::<'data, Elf, R>::raw_segments;false;false;true;false
<read::elf::section::ElfSectionIterator<'data, 'file, Elf, R> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
<common::SectionKind as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<elf::Rel64<Endian> as read::elf::relocation::Rel>::r_info;false;false;true;false
<pe::ImageThunkData64 as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<macho::SegmentCommand32<Endian> as read::macho::segment::Segment>::cmdsize;false;false;true;false
read::util::Bytes::<'data>::read_at;false;false;false;false
read::coff::section::SectionTable::<'data>::is_empty;false;false;true;false
read::macho::dyld_cache::DyldCacheImage::<'data, 'cache, E, R>::path;false;false;true;false
read::macho::load_command::LoadCommandVariant::Note;false;false;true;false
read::archive::ArchiveMember::<'data>::size;false;false;true;false
read::coff::symbol::CoffSymbolIterator::<'data, 'file, R, Coff>::new;false;false;true;false
read::coff::symbol::SymbolTable::<'data, R, Coff>::map;false;false;true;true
<read::xcoff::segment::XcoffSegmentIterator<'data, 'file, Xcoff, R> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
<read::elf::file::ElfFile<'data, Elf, R> as read::traits::Object<'data>>::dynamic_symbols;false;false;true;false
elf::Sym32::<E>::st_bind;false;false;true;false
<read::ObjectKind as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::util::Bytes::<'data>::skip;false;false;true;false
read::macho::symbol::SymbolTable::<'data, Mach, R>::map;false;false;true;true
<xcoff::SectionHeader64 as read::xcoff::section::SectionHeader>::s_name;false;false;true;false
<read::elf::section::ElfSection<'data, 'file, Elf, R> as read::traits::ObjectSection<'data>>::file_range;false;false;true;false
read::elf::attributes::AttributesSubsubsection::<'data>::attributes_data;false;false;true;false
read::pe::rich::memmem;false;false;false;true
<read::macho::load_command::LoadCommandVariant<'data, E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<macho::FilesetEntryCommand<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::util::Bytes::<'data>::read;false;false;true;false
read::any::SectionInternal::Coff;false;false;true;false
<elf::Syminfo64<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
