fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
num::nonzero::NonZero::<u32>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<u32>::from_be;0;0;1;0;0
num::nonzero::NonZero::<u32>::from_le;0;0;1;0;0
num::nonzero::NonZero::<u32>::to_be;0;0;1;0;0
num::nonzero::NonZero::<u32>::to_le;0;0;1;0;0
num::nonzero::NonZero::<u32>::checked_add;0;0;1;0;0
num::nonzero::NonZero::<u32>::saturating_add;0;0;1;0;0
num::nonzero::NonZero::<u32>::unchecked_add;0;0;2;0;0
num::nonzero::NonZero::<u32>::checked_next_power_of_two;0;0;1;0;0
num::nonzero::NonZero::<u32>::midpoint;0;0;1;0;0
num::nonzero::NonZero::<u32>::isqrt;0;0;1;0;0
num::nonzero::NonZero::<u32>::cast_signed;0;0;1;0;0
num::nonzero::NonZero::<u32>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<u32>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<u32>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<u32>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<u32>::saturating_pow;0;0;1;0;0
num::nonzero::NonZero::<u32>::div_ceil;0;0;1;0;0
num::nonzero::NonZero::<u64>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<u64>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<u64>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<u64>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<u64>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<u64>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<u64>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<u64>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<u64>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<u64>::from_be;0;0;1;0;0
num::nonzero::NonZero::<u64>::from_le;0;0;1;0;0
num::nonzero::NonZero::<u64>::to_be;0;0;1;0;0
num::nonzero::NonZero::<u64>::to_le;0;0;1;0;0
num::nonzero::NonZero::<u64>::checked_add;0;0;1;0;0
num::nonzero::NonZero::<u64>::saturating_add;0;0;1;0;0
num::nonzero::NonZero::<u64>::unchecked_add;0;0;2;0;0
num::nonzero::NonZero::<u64>::checked_next_power_of_two;0;0;1;0;0
num::nonzero::NonZero::<u64>::midpoint;0;0;1;0;0
num::nonzero::NonZero::<u64>::isqrt;0;0;1;0;0
num::nonzero::NonZero::<u64>::cast_signed;0;0;1;0;0
num::nonzero::NonZero::<u64>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<u64>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<u64>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<u64>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<u64>::saturating_pow;0;0;1;0;0
num::nonzero::NonZero::<u64>::div_ceil;0;0;1;0;0
num::nonzero::NonZero::<u128>::leading_zeros;0;0;1;0;0
