fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
f32::<impl f32>::max;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::min;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::maximum;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::minimum;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::midpoint;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::to_int_unchecked;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::to_bits;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::to_be_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::to_le_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::to_ne_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::total_cmp;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::clamp;0;0;0;3;0;0;0;0;0;0;0;0;0
f32::<impl f32>::clamp::do_panic;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::clamp::do_panic::runtime;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::clamp::do_panic::compiletime;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::abs;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::signum;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::copysign;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_nan;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_infinite;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_finite;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_subnormal;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_normal;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::classify;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_sign_positive;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_positive;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_sign_negative;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::is_negative;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::next_up;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::next_down;0;0;0;1;0;0;0;0;0;0;0;0;0
