name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
sys::net::connection::socket::SocketAddrCRepr::as_ptr;false;false;false;false
<env::ArgsOs as core::iter::DoubleEndedIterator>::next_back;false;false;true;false
sys::pal::unix::time::SystemTime::checked_add_duration;false;false;false;false
path::Path::extension;false;false;false;false
sys::fs::unix::ReadDir::new;false;false;true;false
<io::util::Empty as core::fmt::Debug>::fmt;false;false;true;false
<fs::File as io::Read>::read_to_end;false;false;true;false
path::PathBuf::add_extension;false;false;true;false
sys::pal::unix::process::process_common::ExitCode;false;false;false;false
<i8 as sys::pal::unix::IsMinusOne>::is_minus_one;false;false;false;false
<sys::pal::unix::fd::FileDesc as os::fd::raw::IntoRawFd>::into_raw_fd;false;false;false;false
io::cursor::Cursor::<T>::get_ref;false;false;true;false
io::buffered::linewritershim::LineWriterShim::<'a, W>::inner;false;false;true;false
<collections::hash::map::IntoKeys<K, V> as core::default::Default>::default;false;false;false;false
f64::<impl f64>::cbrt;false;true;true;false
<io::buffered::linewritershim::LineWriterShim<'a, W> as io::Write>::flush;false;false;true;false
sys::pal::unix::os::getcwd;false;true;false;true
f16::<impl f16>::erf;false;true;true;false
<path::PathBuf as core::ops::Deref>::deref;false;false;true;false
sys::net::connection::socket::unix::Socket::read_buf;false;false;true;false
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::is_write_vectored;false;true;false;false
<ffi::os_str::OsString as sys_common::IntoInner<sys::os_str::bytes::Buf>>::into_inner;false;false;true;false
<fs::Metadata as os::linux::fs::MetadataExt>::st_mode;false;false;true;false
<sys_common::wtf8::Wtf8Buf as core::hash::Hash>::hash;false;false;true;false
io::buffered::bufreader::buffer::Buffer::fill_buf;false;true;true;false
<process::ChildStderr as sys_common::AsInner<sys::pal::unix::pipe::AnonPipe>>::as_inner;false;false;false;false
collections::hash::map::HashMap::<K, V, S>::remove_entry;false;false;true;false
<io::stdio::StdinLock<'_> as io::BufRead>::fill_buf;false;false;true;false
<alloc_crate::boxed::Box<T> as os::fd::raw::AsRawFd>::as_raw_fd;false;true;false;false
<sync::lazy_lock::LazyLock<T, F> as core::ops::Drop>::drop;false;true;true;false
<sys::fs::unix::File as core::fmt::Debug>::fmt::get_mode;false;true;false;false
backtrace::RawFrame::ip;false;false;true;false
sys::anonymous_pipe::unix::<impl core::convert::From<os::fd::owned::OwnedFd> for io::pipe::PipeWriter>::from;false;false;false;false
<path::Path as core::cmp::PartialOrd<&'a ffi::os_str::OsStr>>::partial_cmp;false;false;false;false
sys::pal::unix::os::getppid;false;true;false;false
<sys::fs::unix::FileType as core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
<path::PathBuf as core::cmp::PartialOrd<ffi::os_str::OsString>>::partial_cmp;false;false;true;false
f32::<impl f32>::round_ties_even;false;false;true;false
process::ExitCode::exit_process;false;false;false;false
<sync::mpsc::Iter<'a, T> as core::fmt::Debug>::fmt;false;false;true;false
<io::buffered::bufreader::BufReader<T> as sys::pal::unix::kernel_copy::CopyRead>::min_limit;false;false;true;false
f16::<impl f16>::sin_cos;false;false;true;false
f16::<impl f16>::cosh;false;true;true;false
<sync::mpsc::TryRecvError as core::fmt::Debug>::fmt;false;false;true;false
sync::once_lock::OnceLock::<T>::get_mut_or_init;false;false;true;false
<path::PrefixComponent<'a> as core::cmp::PartialEq>::eq;false;false;true;false
sys::pal::unix::cvt_nz;false;false;false;false
<io::stdio::StderrRaw as io::Write>::write_vectored;false;false;true;false
<&'b path::Path as core::cmp::PartialOrd<alloc_crate::borrow::Cow<'a, path::Path>>>::partial_cmp;false;false;true;false
<sync::poison::rwlock::MappedRwLockReadGuard<'_, T> as core::ops::Drop>::drop;false;true;true;false
<collections::hash::map::Drain<'_, K, V> as core::iter::ExactSizeIterator>::len;false;false;true;false
<sys::stdio::unix::Stdin as io::Read>::read_buf;false;true;true;false
sys::os_str::bytes::Slice::to_owned;false;false;false;false
process::Stdio;false;false;true;false
sys::fs::unix::File::read_vectored;false;false;true;false
f128::<impl f128>::powf;false;true;true;false
sys::net::connection::socket::TcpStream::write_timeout;false;false;false;false
<thread::local::AccessError as core::clone::Clone>::clone;false;false;false;false
f16::<impl f16>::rem_euclid;false;false;true;false
sync::poison::mutex::Mutex::<T>::new;false;false;false;false
io::impls::<impl io::Read for &[u8]>::read_to_end;false;false;true;false
sys::anonymous_pipe::unix::<impl os::fd::raw::IntoRawFd for io::pipe::PipeWriter>::into_raw_fd;false;false;false;false
os::fd::owned::BorrowedFd::<'_>::borrow_raw;true;false;false;false
f64::<impl f64>::ln_gamma;false;true;true;false
<io::Take<T> as sys::pal::unix::kernel_copy::CopyRead>::drain_to;false;false;true;false
<sys::pal::unix::process::process_inner::ExitStatusError as core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
sys::pal::common::small_c_string::run_with_cstr_allocating;false;false;true;false
<&io::stdio::Stdout as io::Write>::flush;false;false;true;false
collections::hash::map::OccupiedEntry::<'a, K, V>::remove_entry;false;false;true;false
path::Path::read_dir;false;false;false;false
sync::mpmc::waker::SyncWaker::disconnect;false;false;true;false
sys::fs::unix::FileAttr::file_type;false;false;true;false
<sys::net::connection::socket::LookupHost as core::ops::Drop>::drop;false;true;true;false
io::buffered::IntoInnerError::<W>::new;false;false;true;false
io::error::ErrorData::SimpleMessage;false;false;false;false
<env::SplitPaths<'_> as core::fmt::Debug>::fmt;false;false;true;false
<backtrace::BacktraceStatus as core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
<io::stdio::Stderr as core::fmt::Debug>::fmt;false;false;true;false
<sync::mpmc::select::Operation as core::clone::Clone>::clone;false;false;false;false
<io::stdio::StdoutRaw as io::Write>::is_write_vectored;false;false;false;false
backtrace_rs::symbolize::gimli::elf::Object::<'a>::section_header;false;false;true;false
sys::net::connection::socket::TcpListener::into_socket;false;false;false;false
f128::<impl f128>::atan;false;true;true;false
<&[u8] as io::SizeHint>::lower_bound;false;false;false;false
fs::OpenOptions::append;false;false;true;false
<fs::Metadata as os::linux::fs::MetadataExt>::st_rdev;false;false;true;false
path::<impl core::convert::From<&'a path::PathBuf> for alloc_crate::borrow::Cow<'a, path::Path>>::from;false;false;true;false
sys::fs::unix::FileAttr::accessed;false;false;true;false
sys::net::connection::socket::TcpListener::set_ttl;false;false;false;false
thread::current::set_current;false;true;true;false
fs::write::inner;false;false;false;false
<path::PathBuf as core::convert::From<&T>>::from;false;false;false;false
sys::fs::unix::File::is_read_vectored;false;false;false;false
path::Path::parent;false;false;false;false
<&mut T as io::SizeHint>::lower_bound;false;false;true;false
<collections::hash::set::ExtractIf<'_, K, F> as core::iter::Iterator>::size_hint;false;false;true;false
backtrace_rs::symbolize::gimli::libs_dl_iterate_phdr::callback;true;true;true;true
<sync::mpmc::utils::CachePadded<T> as core::clone::Clone>::clone;false;false;true;false
sync::mpmc::waker::SyncWaker::new;false;false;false;false
sys::exit_guard::unique_thread_exit;false;true;false;true
<io::Take<T> as io::BufRead>::consume;false;false;true;false
fs::<impl io::Seek for alloc_crate::sync::Arc<fs::File>>::seek;false;false;true;false
sys::fs::unix::remove_dir_impl::is_dir;false;false;true;false
sys::pal::unix::process::process_inner::ExitStatus::new;false;false;false;false
<path::Iter<'a> as core::iter::DoubleEndedIterator>::next_back;false;false;true;false
sys::net::connection::socket::UdpSocket::peer_addr;false;false;false;false
path::Component::Prefix;false;false;true;false
thread::ThreadId::new::exhausted;false;false;false;false
<thread::Packet<'scope, T> as core::ops::Drop>::drop;false;false;true;false
<process::ExitStatus as sys_common::FromInner<sys::pal::unix::process::process_inner::ExitStatus>>::from_inner;false;false;false;false
