fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
thread::current::current;0;0;1;1;0
thread::current::init_current;0;0;0;3;0
thread::current::drop_current;0;0;1;2;0
thread::local::LocalKey::<T>::try_with;0;0;1;0;0
thread::local::LocalKey::<T>::initialize_with;0;0;1;0;0
thread::Builder::spawn;0;0;1;0;0
thread::Builder::spawn_unchecked;0;0;1;0;0
thread::Builder::spawn_unchecked_;0;0;2;0;0
thread::Builder::spawn_unchecked_::MaybeDangling::<T>::into_inner;0;0;1;0;1
<thread::Builder::spawn_unchecked_::MaybeDangling<T> as core::ops::Drop>::drop;0;0;1;0;1
thread::park;0;0;1;0;0
thread::park_timeout;0;0;1;0;0
thread::thread_name_string::ThreadNameString::as_str;0;0;1;0;0
thread::Inner::parker;0;0;1;0;0
thread::Thread::new;0;3;6;0;0
thread::Thread::park;0;0;1;0;0
thread::Thread::park_timeout;0;0;1;0;0
thread::Thread::into_raw;0;0;1;0;0
thread::Thread::from_raw;0;0;2;0;0
<backtrace::BacktraceSymbol as core::fmt::Debug>::fmt;0;0;1;0;0
backtrace::Backtrace::create;0;0;1;0;0
collections::hash::map::HashMap::<K, V, S>::get_disjoint_unchecked_mut;0;0;1;0;0
env::set_var;0;0;1;0;0
env::remove_var;0;0;1;0;0
error::Report::<E>::fmt_multiline;0;0;1;0;0
ffi::os_str::OsString::from_encoded_bytes_unchecked;0;0;1;0;0
ffi::os_str::OsString::into_boxed_os_str;0;0;1;0;0
ffi::os_str::OsStr::from_encoded_bytes_unchecked;0;0;1;0;0
ffi::os_str::OsStr::from_inner;0;1;0;0;0
ffi::os_str::OsStr::from_inner_mut;0;1;0;0;0
ffi::os_str::OsStr::into_os_string;0;0;1;0;0
ffi::os_str::OsStr::slice_encoded_bytes;0;0;2;0;0
ffi::os_str::<impl core::convert::From<&ffi::os_str::OsStr> for alloc_crate::boxed::Box<ffi::os_str::OsStr>>::from;0;0;1;0;0
ffi::os_str::<impl core::clone::Clone for alloc_crate::boxed::Box<ffi::os_str::OsStr>>::clone;0;1;0;0;0
<ffi::os_str::OsStr as core::clone::CloneToUninit>::clone_to_uninit;0;0;1;0;0
ffi::os_str::<impl core::convert::From<ffi::os_str::OsString> for alloc_crate::sync::Arc<ffi::os_str::OsStr>>::from;0;0;1;0;0
ffi::os_str::<impl core::convert::From<&ffi::os_str::OsStr> for alloc_crate::sync::Arc<ffi::os_str::OsStr>>::from;0;0;1;0;0
ffi::os_str::<impl core::convert::From<ffi::os_str::OsString> for alloc_crate::rc::Rc<ffi::os_str::OsStr>>::from;0;0;1;0;0
ffi::os_str::<impl core::convert::From<&ffi::os_str::OsStr> for alloc_crate::rc::Rc<ffi::os_str::OsStr>>::from;0;0;1;0;0
ffi::os_str::<impl core::default::Default for alloc_crate::boxed::Box<ffi::os_str::OsStr>>::default;0;0;1;0;0
io::buffered::bufreader::buffer::Buffer::buffer;0;1;2;0;0
io::buffered::bufreader::buffer::Buffer::capacity;0;1;0;0;0
io::buffered::bufreader::buffer::Buffer::read_more;0;1;1;0;0
io::buffered::bufreader::buffer::Buffer::backshift;0;1;0;0;0
io::buffered::bufreader::buffer::Buffer::fill_buf;0;1;1;0;0
<io::buffered::bufreader::BufReader<R> as io::Read>::read_to_string;0;0;1;0;0
io::buffered::bufwriter::BufWriter::<W>::into_parts;0;0;1;0;0
io::buffered::bufwriter::BufWriter::<W>::write_to_buf;0;0;1;0;0
io::buffered::bufwriter::BufWriter::<W>::write_cold;0;0;1;0;0
io::buffered::bufwriter::BufWriter::<W>::write_all_cold;0;0;1;0;0
io::buffered::bufwriter::BufWriter::<W>::write_to_buffer_unchecked;0;0;3;0;0
<io::buffered::bufwriter::BufWriter<W> as io::Write>::write;0;0;1;0;0
<io::buffered::bufwriter::BufWriter<W> as io::Write>::write_all;0;0;1;0;0
<io::buffered::bufwriter::BufWriter<W> as io::Write>::write_vectored;0;0;2;0;0
<io::buffered::bufwriter::BufWriter<I> as io::copy::BufferedWriterSpec>::copy_from;0;0;2;0;0
io::cursor::reserve_and_pad;0;0;2;0;0
io::cursor::vec_write_all_unchecked;0;0;2;0;0
io::cursor::vec_write_all;0;0;2;0;0
io::cursor::vec_write_all_vectored;0;0;2;0;0
<io::cursor::Cursor<alloc_crate::boxed::Box<[u8], A>> as io::Write>::write;0;1;0;0;0
<io::cursor::Cursor<alloc_crate::boxed::Box<[u8], A>> as io::Write>::write_vectored;0;1;0;0;0
<io::cursor::Cursor<alloc_crate::boxed::Box<[u8], A>> as io::Write>::write_all;0;1;0;0;0
<io::cursor::Cursor<alloc_crate::boxed::Box<[u8], A>> as io::Write>::write_all_vectored;0;1;0;0;0
io::error::repr_bitpacked::Repr::new_custom;0;0;1;0;0
io::error::repr_bitpacked::Repr::new_os;0;0;1;0;0
io::error::repr_bitpacked::Repr::new_simple;0;0;1;0;0
io::error::repr_bitpacked::Repr::new_simple_message;0;0;1;0;0
io::error::repr_bitpacked::Repr::data;0;0;1;0;0
io::error::repr_bitpacked::Repr::data_mut;0;0;1;0;0
io::error::repr_bitpacked::Repr::into_data;0;0;1;0;0
<io::error::repr_bitpacked::Repr as core::ops::Drop>::drop;0;0;1;0;0
io::error::repr_bitpacked::decode_repr;0;1;0;0;0
io::error::Error::get_ref;0;1;0;0;0
io::error::Error::get_mut;0;1;0;0;0
io::error::Error::into_inner;0;1;0;0;0
io::error::Error::downcast;0;4;0;0;0
<io::error::Error as core::error::Error>::description;0;1;0;0;0
<io::error::Error as core::error::Error>::cause;0;1;0;0;0
<io::error::Error as core::error::Error>::source;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read_buf;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read_vectored;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::is_read_vectored;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read_to_end;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read_to_string;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read_exact;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::boxed::Box<R>>::read_buf_exact;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::write;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::write_vectored;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::is_write_vectored;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::flush;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::write_all;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::write_all_vectored;0;1;0;0;0
io::impls::<impl io::Write for alloc_crate::boxed::Box<W>>::write_fmt;0;1;0;0;0
io::impls::<impl io::Seek for alloc_crate::boxed::Box<S>>::seek;0;1;0;0;0
io::impls::<impl io::Seek for alloc_crate::boxed::Box<S>>::rewind;0;1;0;0;0
io::impls::<impl io::Seek for alloc_crate::boxed::Box<S>>::stream_len;0;1;0;0;0
io::impls::<impl io::Seek for alloc_crate::boxed::Box<S>>::stream_position;0;1;0;0;0
io::impls::<impl io::Seek for alloc_crate::boxed::Box<S>>::seek_relative;0;1;0;0;0
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::fill_buf;0;1;0;0;0
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::consume;0;1;0;0;0
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::has_data_left;0;1;0;0;0
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::read_until;0;1;0;0;0
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::skip_until;0;1;0;0;0
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::read_line;0;1;0;0;0
io::impls::<impl io::Read for alloc_crate::collections::VecDeque<u8, A>>::read_to_string;0;0;1;0;0
<io::util::Repeat as io::Read>::read_buf;0;0;2;0;0
<io::Guard<'_> as core::ops::Drop>::drop;0;0;1;0;0
io::append_to_string;0;0;2;0;0
io::default_read_to_end;0;0;2;0;0
io::default_read_to_string;0;0;1;0;0
io::BufRead::read_line;0;0;1;0;0
<io::Take<T> as io::Read>::read_buf;0;0;4;0;0
<alloc_crate::boxed::Box<T> as io::SizeHint>::lower_bound;0;1;0;0;0
<alloc_crate::boxed::Box<T> as io::SizeHint>::upper_bound;0;1;0;0;0
<(&str, u16) as net::socket_addr::ToSocketAddrs>::to_socket_addrs;0;2;2;0;0
<str as net::socket_addr::ToSocketAddrs>::to_socket_addrs;0;1;1;0;0
os::unix::net::addr::sockaddr_un;0;0;2;0;0
