name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
unix::linux_like::linux::FUTEX_OP;false;false;false;false
<unix::linux_like::linux::gnu::ptrace_syscall_info as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::b64::x86_64::ucontext_t as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::glob_t as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::fd_set as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::fanout_args as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::mmsghdr as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::FD_SET;true;true;true;false
<unix::linux_like::linux::genlmsghdr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::sigevent as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::dirent64 as core::clone::Clone>::clone;false;false;false;false
unix::linux_like::linux::_IO;false;false;false;false
<unix::linux_like::linux::arpd_request as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::posix_spawnattr_t as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sctp_rcvinfo as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_elf64_rel as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::sifields_sigchld as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::_IOWR;false;false;false;false
<unix::linux_like::utsname as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::passwd as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::signalfd_siginfo as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::ELF64_R_INFO;true;false;false;false
<unix::linux_like::linux::in6_pktinfo as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::iw_missed as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::xsk_tx_metadata_request as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::CMSG_ALIGN;false;false;false;false
<unix::linux_like::linux::ff_replay as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ff_condition_effect as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::ifaddrs as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::uinput_abs_setup as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::seccomp_notif_addfd as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ptp_extts_event as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_iwreq as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::gnu::rtentry as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::CMSG_DATA;true;true;true;false
<unix::linux_like::linux::gnu::__c_anonymous_ptrace_syscall_info_exit as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::sched_param as core::clone::Clone>::clone;false;false;false;false
unix::linux_like::linux::SCTP_PR_PRIO_ENABLED;false;false;false;false
<unix::linux_like::linux::in6_ifreq as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::gnu::__exit_status as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::spwd as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::input_absinfo as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sockaddr_pkt as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::Elf64_Phdr as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::SO_EE_OFFENDER;true;true;true;false
<unix::timespec as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::fanotify_event_info_pidfd as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::lconv as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::tpacket3_hdr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::Elf64_Chdr as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::CMSG_LEN;true;false;false;false
unix::ntohs;false;false;false;false
<unix::linux_like::linux::xdp_mmap_offsets_v1 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::tls_crypto_info as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::b64::x86_64::_libc_fpstate as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::ip_mreqn as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::__c_anonymous_ptrace_syscall_info_seccomp as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::iw_pmkid_cand as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::fanotify_event_info_fid as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::rlimit64 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::mallinfo as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_ifc_ifcu as core::clone::Clone>::clone;false;false;false;false
unix::linux_like::linux::RT_ADDRCLASS;true;false;false;false
unix::linux_like::linux::IPTOS_PREC;true;false;false;false
<unix::linux_like::linux::canxl_frame as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ff_constant_effect as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sock_extended_err as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::if_nameindex as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sockaddr_alg as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::sockaddr_un as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::iw_event as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::makedev;false;false;false;false
unix::linux_like::linux::gnu::<impl unix::linux_like::linux::gnu::b64::x86_64::siginfo_t>::sifields;true;true;true;false
<unix::protoent as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_ifr_ifru as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::addrinfo as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::SIGRTMIN;false;true;false;false
<unix::linux_like::linux::uinput_ff_upload as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::b64::x86_64::stat as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::sockaddr_storage as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::msginfo as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::xdp_mmap_offsets as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::nlmsgerr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::tls12_crypto_info_aes_gcm_128 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::xsk_tx_metadata as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::pthread_condattr_t as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::can_frame as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::in_pktinfo as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::SCTP_PR_SET_POLICY;true;false;true;false
unix::linux_like::linux::BPF_RVAL;true;false;false;false
unix::linux_like::linux::SCTP_PR_TTL_ENABLED;false;false;false;false
<unix::linux_like::linux::gnu::b64::x86_64::not_x32::statvfs as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::ELF32_R_SYM;true;false;false;false
<unix::rlimit as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::tpacket_bd_ts as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sched_attr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::b64::x86_64::clone_args as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::WIFSTOPPED;false;false;false;false
<unix::linux_like::linux::nlmsghdr as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::BPF_JUMP;true;false;false;false
unix::linux_like::WEXITSTATUS;false;false;false;false
<unix::linux_like::linux::Elf32_Sym as core::clone::Clone>::clone;false;false;true;false
unix::htonl;false;false;false;false
<unix::linux_like::statx as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_elf32_rel as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::xdp_statistics_v1 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_elf32_rela as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sctp_sndrcvinfo as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::xdp_desc as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::Elf32_Phdr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::uinput_user_dev as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::iw_range as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_ptp_perout_request_2 as core::clone::Clone>::clone;false;false;false;false
unix::linux_like::linux::_IOR;false;false;false;false
<unix::hostent as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::ip_mreq as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sockaddr_xdp as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::input_id as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::CPU_EQUAL;true;false;false;false
unix::linux_like::linux::ELF64_R_SYM;true;false;false;false
<unix::linux_like::linux::gnu::nl_mmap_hdr as core::clone::Clone>::clone;false;false;true;false
